Country,Export,Import,col,order
Brazil,33530.5987224594,20929.4760807895,CC000099,12
Canada,224190.820150309,248021.787025406,00CC0099,1
China,86428.1259614596,325632.257801775,FFFF33BB,2
France,23241.5183707266,33720.946466761,33660099,11
Germany,35472.1621858378,85318.4124184502,CC006699,6
India,16751.6202576741,31460.4414774639,FF66FF99,10
Italy,12567.0503680951,28559.1040014005,004C9999,9
Japan,48800.4818985999,105035.838212504,FF800099,5
S. Korea,30247.0327762239,46999.6560123551,009999BB,7
Mexico,168535.191025503,209573.553480692,9999FFBB,3
S. Arabia,14249.752160127,37643.3268148008,99004C99,4
UK,35704.6343218601,39677.1564044895,80808099,8
