Country,Export,Import,col,order
Brazil,32495.12433038,22100.4805067254,CC000099,12
Canada,233089.736167493,259624.32409593,00CC0099,1
China,90297.8333597842,342778.580444753,FFFF33BB,2
France,23517.311148542,35718.1434666311,33660099,11
Germany,37904.2699016051,93479.1373002811,CC006699,6
India,15463.7656038558,33293.4026404543,FF66FF99,10
Italy,12676.2482913674,31095.7110645843,004C9999,9
Japan,50758.1220429827,100922.21432209,FF800099,5
S. Korea,33563.6243540406,50747.4596534401,009999BB,7
Mexico,180474.129622435,218889.631271531,9999FFBB,3
S. Arabia,13707.4379293432,38834.7341016477,99004C99,4
UK,40241.5024549584,40509.0518076041,80808099,8
