Country,Export,Import,col
Canada,224190.820150309,248021.787025406,CC000099
China,86428.1259614596,325632.257801775,00CC0099
Mexico,168535.191025503,209573.553480692,FFFF33BB
S. Arabia,14249.752160127,37643.3268148008,33660099
Japan,48800.4818985999,105035.838212504,CC006699
Germany,35472.1621858378,85318.4124184502,FF66FF99
S. Korea,30247.0327762239,46999.6560123551,004C9999
UK,35704.6343218601,39677.1564044895,FF800099
Italy,12567.0503680951,28559.1040014005,009999BB
India,16751.6202576741,31460.4414774639,9999FFBB
France,23241.5183707266,33720.946466761,99004C99
Brazil,33530.5987224594,20929.4760807895,80808099
